cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,lag1.mean,lag1.median,lag1.sd,v0.mean,v0.median,v0.sd
56,false,Continue,457.54826399066536,18,2.57486,0.5573468017578126,0.5641629028320312,0.07028486794474126,0.053129882097244265,0.052406821548938755,0.0002489047217893171,1.286966133117676,0.9426461219787596,1.2513442919193012,92.66108906269073,96.25567388534546,625.6079924972305
57,false,Continue,457.448352172917,18,2.57486,0.5576245795355904,0.5666629028320311,0.07029039259376917,0.05316425709724427,0.052716196548938755,0.00024912141697535717,1.284188355339898,0.9426461219787596,1.2432359722129143,92.62983906269073,96.25567388534546,627.9728464780172
58,false,Continue,457.37986143824946,19,2.57486,0.5560097834938453,0.5639482116699219,0.06646126684146078,0.053718141740246826,0.05643326735496522,0.0002411103140118313,1.4248795509338381,1.0160114288330075,1.5533091004809227,90.67582873294228,92.88067388534546,662.0751348772319
59,false,Continue,457.3002885391653,18,2.57486,0.558180135091146,0.5716629028320313,0.07030977522515831,0.05319863209724427,0.052716196548938755,0.00024986371647976,1.2814105775621205,0.9426461219787596,1.2352583714607757,92.50483906269073,95.69317388534546,631.4342344348609
60,false,Continue,457.24229568195085,18,2.57486,0.558180135091146,0.5716629028320313,0.07030977522515831,0.053233007097244274,0.0529404705286026,0.0002501204484305058,1.2814105775621205,0.9426461219787596,1.2399250154449533,92.50483906269073,95.69317388534546,631.4342344348609
61,false,Continue,457.1790052796152,19,2.57486,0.5615360992833189,0.5793775939941405,0.06661766401906218,0.05345761542445735,0.05688181531429291,0.00023765132676206006,1.3261953404075224,1.0160114288330075,1.2085555030289936,91.1495129434686,91.75567388534546,629.6931967005122
62,false,Continue,457.0894418356453,18,2.57486,0.5576245795355904,0.5716629028320313,0.07027148878293148,0.05326738209724427,0.0529404705286026,0.00025090278469961443,1.2772439108954536,0.9426461219787596,1.2310333578774617,92.41108906269073,95.13067388534546,633.954079027355
63,false,Continue,457.0678037866994,18,2.57486,0.5570690239800349,0.5716629028320313,0.07019994322691915,0.05326738209724427,0.0529404705286026,0.00025090278469961443,1.2758550220065648,0.9426461219787596,1.2279992030228926,92.41108906269073,95.13067388534546,633.954079027355
64,false,Continue,457.04930345603856,18,2.57486,0.5567912462022571,0.5716629028320313,0.07022493539183017,0.053301757097244266,0.0529404705286026,0.0002511995534150663,1.274466133117676,0.9426461219787596,1.225034492612768,92.41108906269073,95.13067388534546,633.954079027355
65,false,Continue,456.9886881400957,18,2.57486,0.5565134684244792,0.5716629028320313,0.07025270533451894,0.053301757097244266,0.0529404705286026,0.0002511995534150663,1.2730772442287872,0.9426461219787596,1.2221392266470887,92.37983906269073,94.84942388534546,634.0522544802675
66,false,Continue,456.9539714858207,18,2.57486,0.5562356906467014,0.5716629028320313,0.07028325305498552,0.053301757097244266,0.0529404705286026,0.0002511995534150663,1.2716883553398983,0.9426461219787596,1.219313405125853,92.34858906269073,94.56817388534546,634.18558618318
67,false,Continue,456.9427275536817,19,2.57486,0.5528518887570031,0.5639482116699219,0.06647538333058117,0.053913536477088936,0.05688181531429291,0.0002443552288522441,1.4143532351443644,1.0160114288330075,1.538285862170583,90.40938136452122,90.06817388534546,670.4030570536056
68,false,Continue,456.86007116342176,18,2.57486,0.5556801350911459,0.5716629028320313,0.07010275931248526,0.053336132097244277,0.0529404705286026,0.00025202192644888083,1.2716883553398983,0.9426461219787596,1.219313405125853,92.31733906269073,94.56817388534546,636.6414328110255
69,false,Continue,456.846859430779,18,2.57486,0.5554023573133682,0.5716629028320313,0.07013575801334399,0.053336132097244277,0.0529404705286026,0.00025202192644888083,1.2716883553398983,0.9426461219787596,1.219313405125853,92.31733906269073,94.56817388534546,636.6414328110255
70,false,Continue,456.83260198107905,18,2.57486,0.5554023573133682,0.5716629028320313,0.07013575801334399,0.053336132097244277,0.0529404705286026,0.00025202192644888083,1.2716883553398983,0.9426461219787596,1.219313405125853,92.28608906269073,94.56817388534546,639.132435688871
71,false,Continue,456.7597015949288,18,2.57486,0.5554023573133682,0.5716629028320313,0.07013575801334399,0.053370507097244266,0.0529404705286026,0.0002528868385451954,1.2716883553398983,0.9426461219787596,1.219313405125853,92.28608906269073,94.56817388534546,639.132435688871
72,false,Continue,456.74327317907387,18,2.57486,0.5554023573133682,0.5716629028320313,0.07013575801334399,0.053370507097244266,0.0529404705286026,0.0002528868385451954,1.2716883553398983,0.9426461219787596,1.219313405125853,92.25483906269073,94.56817388534546,641.6585948167166
73,false,Continue,456.6816303872276,18,2.57486,0.5554023573133682,0.5716629028320313,0.07013575801334399,0.053404882097244276,0.0529404705286026,0.00025379428970400997,1.2716883553398983,0.9426461219787596,1.219313405125853,92.25483906269073,94.56817388534546,641.6585948167166
74,false,Continue,456.66325081425913,18,2.57486,0.5551245795355904,0.5716629028320313,0.07017153449198046,0.053404882097244276,0.0529404705286026,0.00025379428970400997,1.2716883553398983,0.9426461219787596,1.219313405125853,92.25483906269073,94.56817388534546,641.6585948167166
75,false,Continue,456.64367661650516,18,2.57486,0.5551245795355904,0.5716629028320313,0.07017153449198046,0.053404882097244276,0.0529404705286026,0.00025379428970400997,1.2716883553398983,0.9426461219787596,1.219313405125853,92.22358906269073,94.56817388534546,644.219910194562
76,false,Continue,456.5905395620802,18,2.57486,0.5551245795355904,0.5716629028320313,0.07017153449198046,0.053439257097244265,0.0529404705286026,0.0002547442799253245,1.2716883553398983,0.9426461219787596,1.219313405125853,92.22358906269073,94.56817388534546,644.219910194562
77,false,Continue,456.570532832111,18,2.57486,0.5548468017578126,0.5716629028320313,0.07021008874839475,0.053439257097244265,0.0529404705286026,0.0002547442799253245,1.2716883553398983,0.9426461219787596,1.219313405125853,92.22358906269073,94.56817388534546,644.219910194562
78,false,Continue,456.5492216968438,18,2.57486,0.5548468017578126,0.5716629028320313,0.07021008874839475,0.053439257097244265,0.0529404705286026,0.0002547442799253245,1.2716883553398983,0.9426461219787596,1.219313405125853,92.19233906269073,94.56817388534546,646.8163818224075
79,false,Continue,456.50320726444244,18,2.57486,0.5548468017578126,0.5716629028320313,0.07021008874839475,0.053473632097244275,0.0529404705286026,0.0002557368092091391,1.2716883553398983,0.9426461219787596,1.219313405125853,92.19233906269073,94.56817388534546,646.8163818224074
80,false,Continue,456.48142475477863,18,2.57486,0.5545690239800348,0.5716629028320313,0.07025142078258681,0.053473632097244275,0.0529404705286026,0.0002557368092091391,1.2716883553398983,0.9426461219787596,1.219313405125853,92.19233906269073,94.56817388534546,646.8163818224075
81,false,Continue,456.4598180218481,18,2.57486,0.5545690239800348,0.5716629028320313,0.07025142078258681,0.053473632097244275,0.0529404705286026,0.0002557368092091391,1.2716883553398983,0.9426461219787596,1.219313405125853,92.16108906269073,94.56817388534546,649.448009700253
82,false,Continue,456.4195668982358,19,2.57486,0.5578518887570031,0.5793775939941405,0.06655333089417642,0.05368557595077314,0.05688181531429291,0.000243105856503945,1.316984814091733,1.0160114288330075,1.1905573858414267,90.85346031188965,90.06817388534546,645.8555307654163
83,false,Continue,456.3950811928966,18,2.57486,0.5540134684244793,0.5716629028320313,0.07026006524312776,0.053508007097244265,0.0529404705286026,0.0002567718775554537,1.2702994664510097,0.9426461219787596,1.216743325241355,92.16108906269073,94.56817388534546,649.4480097002529
84,false,Continue,456.3741755659492,18,2.57486,0.5534579128689238,0.5716629028320313,0.0702739384618387,0.053508007097244265,0.0529404705286026,0.0002567718775554537,1.2702994664510097,0.9426461219787596,1.216743325241355,92.16108906269073,94.56817388534546,649.4480097002529
85,false,Continue,456.35126804700127,18,2.57486,0.5537356906467015,0.5716629028320313,0.07030678943418257,0.053508007097244265,0.0529404705286026,0.00025677187755545364,1.2702994664510097,0.9426461219787596,1.2167433252413553,92.12983906269073,94.56817388534546,652.1147938280984
86,false,Continue,456.3127577072231,18,2.57486,0.5534579128689238,0.5716629028320313,0.0702739384618387,0.053542382097244275,0.0529404705286026,0.0002578494849642682,1.2702994664510092,0.9426461219787596,1.216743325241355,92.12983906269073,94.56817388534546,652.1147938280983
87,false,Continue,456.2899965197662,19,2.57486,0.5560097834938451,0.5793775939941405,0.06656855959955472,0.053718141740246826,0.05688181531429291,0.00024411145116742382,1.3143532351443645,1.0160114288330075,1.1860204300247226,90.82385504873176,90.06817388534546,648.2924848205938
88,false,Continue,456.2697186023223,18,2.57486,0.5534579128689238,0.5716629028320313,0.07035629140301516,0.053542382097244275,0.0529404705286026,0.00025784948496426817,1.2702994664510097,0.9426461219787596,1.2167433252413553,92.09858906269073,94.56817388534546,654.8167342059439
89,false,Continue,456.234193918614,18,2.57486,0.5531801350911459,0.5716629028320313,0.07032327703197844,0.05357675709724427,0.0529404705286026,0.00025896963143558276,1.2702994664510092,0.9426461219787596,1.216743325241355,92.09858906269073,94.56817388534546,654.8167342059438
90,false,Continue,456.2091825177128,19,2.57486,0.5557466255991083,0.5793775939941405,0.0666193566827792,0.053750707529720505,0.05688181531429291,0.00024515734599537625,1.3143532351443645,1.0160114288330075,1.1860204300247226,90.79424978557385,90.06817388534546,650.762744796824
91,false,Continue,456.1872721448557,18,2.57486,0.5523468017578126,0.5716629028320313,0.07039972411494676,0.05357675709724427,0.0529404705286026,0.00025896963143558276,1.2689105775621203,0.9426461219787596,1.2142426898013015,92.09858906269073,94.56817388534546,654.8167342059438
92,false,Continue,456.16860753060604,19,2.57486,0.5470624150727925,0.5639482116699219,0.06701919844088258,0.05440202331919419,0.05688181531429291,0.0002575226520939002,1.411721656196996,1.0160114288330075,1.5342898420263937,89.90609189083702,90.06817388534546,709.7718598732027
93,false,Continue,456.13159608359166,18,2.57486,0.5523468017578126,0.5716629028320313,0.07039972411494676,0.053611132097244274,0.0529404705286026,0.00026013231696939734,1.2689105775621203,0.9426461219787596,1.2142426898013015,92.06733906269073,94.56817388534546,657.5538308337893
94,false,Continue,456.10783592493016,18,2.57486,0.5520690239800348,0.5716629028320313,0.07045723261972706,0.053611132097244274,0.0529404705286026,0.00026013231696939734,1.2689105775621203,0.9426461219787596,1.2142426898013015,92.06733906269073,94.56817388534546,657.5538308337893
95,false,Continue,456.08747844858885,18,2.57486,0.551791246202257,0.5716629028320313,0.07051751890228511,0.053611132097244274,0.0529404705286026,0.00026013231696939734,1.2689105775621203,0.9426461219787596,1.2142426898013015,92.06733906269073,94.56817388534546,657.5538308337893
96,false,Continue,456.0706776553882,18,2.57486,0.5515134684244792,0.5716629028320313,0.07058058296262097,0.053611132097244274,0.0529404705286026,0.00026013231696939734,1.2689105775621203,0.9426461219787596,1.2142426898013015,92.06733906269073,94.56817388534546,657.5538308337893
97,false,Continue,456.05149119710694,18,2.57486,0.5515134684244792,0.5716629028320313,0.07058058296262097,0.053611132097244274,0.0529404705286026,0.00026013231696939734,1.2689105775621203,0.9426461219787596,1.2142426898013012,92.03608906269073,94.56817388534546,660.326083711635
98,false,Continue,456.00948996507657,18,2.57486,0.5515134684244792,0.5716629028320313,0.07058058296262097,0.05364550709724427,0.0529404705286026,0.0002613375415657119,1.2689105775621203,0.9426461219787596,1.2142426898013015,92.03608906269073,94.56817388534546,660.3260837116349
99,false,Continue,455.9907128280123,18,2.57486,0.5512356906467014,0.5716629028320313,0.07064642480073459,0.05364550709724427,0.0529404705286026,0.0002613375415657119,1.2689105775621203,0.9426461219787596,1.2142426898013015,92.03608906269073,94.56817388534546,660.3260837116349
100,false,Stop: MaxCycles,455.97584741975214,18,2.57486,0.5509579128689237,0.5716629028320313,0.070715044416626,0.05364550709724427,0.0529404705286026,0.0002613375415657119,1.2689105775621203,0.9426461219787596,1.2142426898013015,92.03608906269073,94.56817388534546,660.3260837116349
